title,studio,domestic_gross_x,foreign_gross,year,id_x,release_date,movie,production_budget,domestic_gross_y,worldwide_gross,id_y,rating,genre,director,writer,runtime
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",1125,NR,Art House and International|Documentary,,,110 minutes
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",1126,NR,Classics|Drama|Romance,Irving Rapper,Casey Robinson,117 minutes
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",1128,R,Comedy|Romance,Stanley Donen,Charlie Peters|Larry Gelbart,90 minutes
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",1131,NR,Comedy|Drama,,,88 minutes
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",1132,R,Action and Adventure|Drama,Albert Pyun,John Stockwell|Marty Ross|Scott Fields,96 minutes
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",1133,R,Drama|Mystery and Suspense,Michael Fields,Richard Ford Grayling,94 minutes
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",1134,R,Documentary|Drama|Special Interest,Rainer Werner Fassbinder,,57 minutes
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",1137,NR,Classics|Comedy|Drama,Douglas Sirk,George Zuckerman,99 minutes
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",1141,R,Action and Adventure|Western,Richard Lang,,102 minutes
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",1145,PG-13,Comedy,Mel Brooks,Mel Brooks|Steve Haberman|Rudy De Luca|Ron Clark,93 minutes
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",1146,NR,Art House and International|Comedy|Drama|Romance,Francisco Regueiro,Angel Fernandez Santos|Francisco Regueiro,104 minutes
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",1147,NR,Comedy|Science Fiction and Fantasy,Scott Dikkers,,120 minutes
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",1148,PG,Comedy|Drama,Bill Forsyth,,82 minutes
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",1152,NR,Drama,Jan Cvitkovic,,68 minutes
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",1153,NR,Classics|Horror,Robert Siodmak,Eric Taylor,80 minutes
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",1154,G,Action and Adventure|Animation|Comedy|Drama|Kids and Family|Musical and Performing Arts,Rob LaDuca|Darrell Rooney,Flip Kobler|Cindy Marcus,75 minutes
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",1156,G,Action and Adventure|Animation|Classics|Comedy|Kids and Family|Musical and Performing Arts,Jack Kinney|Hamilton Luske|Bill Roberts|William Morgan,Ted Sears|Eldon Dedini|Homer Brightman|Harry Reeves|Tom Oreb|Lance Nolley,96 minutes
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",1158,NR,Action and Adventure|Drama|Mystery and Suspense,,Zenzo Matsumura,133 minutes
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",1159,NR,Classics|Comedy|Drama|Musical and Performing Arts,David Swift,David Swift,121 minutes
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",1160,NR,Action and Adventure|Art House and International,Liu Chia-Liang,,110 minutes
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",1166,NR,Art House and International|Drama,,,116 minutes
